cluster_label,source_id,ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,prob_A,membership_prob,prob_source,ms_flag,giant_flag,cluster_centre_ra,cluster_centre_dec,hunt24_name,simbad_name,sp_type,sp_class
188,458026174427918976,38.187702,57.549235,-0.240610,-0.971376,0.048255,0.052102,0.428483,0.059895,16.771944,17.538118,15.919389,0.936690,0.572857,0.973640,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458027205220044672,38.079531,57.593885,-0.237070,-1.108257,0.055592,0.058833,0.547338,0.070367,17.034870,17.804523,16.175692,1.044224,0.000000,0.930593,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,457989100269480320,38.110539,57.212272,-0.285978,-1.133333,0.054629,0.053935,0.445245,0.066122,17.005701,17.751198,16.159327,0.999344,0.000000,0.936387,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458029056342896896,38.242026,57.645235,-0.307031,-1.245984,0.009512,0.009846,0.437828,0.011387,12.277777,12.584949,11.797325,0.898246,0.000000,0.962114,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,457993944995787520,37.790218,57.270881,-0.291478,-1.029015,0.017841,0.018325,0.386960,0.020835,10.953465,11.145432,10.615315,0.984435,0.000000,0.954020,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458017859371362944,37.985916,57.400612,-0.390400,-1.169021,0.014580,0.015339,0.420680,0.018382,11.893614,12.173647,11.439658,1.311302,0.000000,0.978567,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458019302480338432,38.134923,57.435887,-0.230358,-0.984145,0.033636,0.035027,0.415389,0.040160,16.090471,16.603264,15.409961,1.012116,0.000000,0.979587,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458020951747708032,38.115346,57.531641,-0.385058,-1.109520,0.010498,0.010957,0.415234,0.013298,13.142781,13.473539,12.628293,1.017307,0.619335,0.993407,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458020505071132672,38.032231,57.506915,-0.251226,-1.109508,0.031816,0.032201,0.423967,0.038434,15.953913,16.470245,15.268126,1.040813,0.543303,0.991514,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458021879460652416,38.329193,57.490056,-0.408946,-0.952640,0.047669,0.049588,0.431706,0.060574,16.736053,17.389597,15.953248,1.011635,0.543055,0.926928,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458023047691739264,38.343866,57.512979,-0.293827,-1.089336,0.025651,0.024993,0.387097,0.032340,15.204534,15.687986,14.541729,0.998499,0.746487,0.993290,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458026311866862208,38.257865,57.552659,-0.278022,-1.150449,0.052205,0.054198,0.484472,0.065261,16.782234,17.484670,15.971822,1.075648,0.581274,0.978540,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458026513723952896,38.265638,57.590827,-0.436560,-1.186849,0.059804,0.061466,0.437606,0.072218,16.945261,17.796715,16.034365,1.008744,0.585338,0.935141,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458028098573197440,38.334318,57.625960,-0.233740,-1.005044,0.054161,0.055679,0.415372,0.062706,16.857832,17.544365,16.037472,0.969102,0.676761,0.979845,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458011434100419200,38.646670,57.521090,-0.166427,-1.163834,0.063002,0.070147,0.402917,0.084553,17.220213,18.048084,16.335188,0.965215,0.553897,0.946795,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458011812057298688,38.480598,57.488394,-0.371055,-1.045291,0.111619,0.114465,0.527868,0.141382,18.100668,19.030260,17.159813,1.004343,0.000000,0.927540,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458014457757286144,38.136945,57.354362,-0.268775,-1.089912,0.026249,0.027860,0.432600,0.031414,15.506435,15.949986,14.875784,0.982909,0.532153,0.990147,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
