Name,ID,source_id,inrt,Prob,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,RV,_RA.icrs,_DE.icrs
NGC_957             ,4463,458021982539875584,1,0.9661395080676028,38.39303078,57.4700066,-0.25695168,-1.05860085,0.4588016,14.754954,15.160647,14.169641,            ,38.3930329,57.4700113
NGC_957             ,4463,458022051259344640,1,0.8331216618079598,38.42486048,57.4770164,-0.45479429,-1.09944432,0.42485899,15.766148,16.3583,15.016732,            ,38.42486424,57.4770213
NGC_957             ,4463,458022119978807936,1,1.0,38.40829578,57.4995377,-0.39826235,-1.09392053,0.44330188,16.838264,17.72378,15.899563,            ,38.40829907,57.4995426
NGC_957             ,4463,458022119978814336,1,0.7256298202186433,38.40886372,57.4912006,-0.22123121,-1.02083126,0.48368939,14.053632,14.468304,13.453269,            ,38.40886555,57.4912051
NGC_957             ,4463,458022188698297344,1,1.0,38.37862382,57.4843598,-0.30318625,-1.12219252,0.46247518,11.913387,12.208101,11.438156,            ,38.37862633,57.4843648
NGC_957             ,4463,458022257417767040,1,0.808662579967953,38.34597908,57.5003609,-0.3274648,-1.18724288,0.4837127,15.858795,16.33528,15.205278,            ,38.34598179,57.5003661
NGC_957             ,4463,458022257417770496,1,0.7313137051673066,38.33655727,57.4953942,-0.29931169,-0.93790757,0.39660744,14.907057,15.298513,14.30321,            ,38.33655974,57.4953984
NGC_957             ,4463,458022287475809792,1,1.0,38.35390085,57.508821,-0.33879599,-1.16042382,0.45346682,16.637835,17.370651,15.798136,            ,38.35390365,57.5088262
NGC_957             ,4463,458022291777496832,1,0.809692207925189,38.35323336,57.5103892,-0.31638419,-1.04210901,0.3543127,16.930033,17.736345,16.036762,            ,38.35323598,57.5103939
NGC_957             ,4463,458022291777498112,1,1.0,38.36905283,57.5067368,-0.33783486,-1.18155399,0.43265419,15.925291,16.628204,15.092562,            ,38.36905563,57.506742
NGC_957             ,4463,458022326137225344,1,1.0,38.39245077,57.5172242,-0.27895756,-1.07687108,0.47465559,14.788314,15.16544,14.227449,            ,38.39245308,57.5172289
NGC_957             ,4463,458022360496965120,1,1.0,38.40933669,57.5136597,-0.22847672,-1.0644574,0.4108015,14.692997,15.072593,14.130715,            ,38.40933858,57.5136644
NGC_957             ,4463,458022360496966656,1,0.7444931800690598,38.4086393,57.5115105,-0.39103543,-1.15877328,0.49147788,16.476322,17.10553,15.705724,            ,38.40864253,57.5115156
NGC_957             ,4463,458022429216435968,1,1.0,38.38966826,57.5242317,-0.2723975,-1.11015031,0.44776314,16.200943,16.749971,15.491167,            ,38.38967051,57.5242367
NGC_957             ,4463,458022493632894464,1,1.0,38.28413906,57.4696714,-0.27268476,-1.1037224,0.40838777,11.844423,12.213348,11.267844,            ,38.28414132,57.4696763
NGC_957             ,4463,458022497935957632,1,0.92851356648387,38.29024825,57.4741698,-0.38621011,-1.0423882,0.39540016,16.387022,16.969435,15.652283,            ,38.29025144,57.4741744
NGC_957             ,4463,458022532295700992,1,1.0,38.26799366,57.4722538,-0.28362114,-1.14971305,0.42625186,15.237262,15.632811,14.661112,            ,38.267996,57.4722589
NGC_957             ,4463,458022532295702912,1,1.0,38.25533637,57.4717912,-0.29425309,-1.09919843,0.43994087,14.242098,14.603825,13.700422,            ,38.25533881,57.4717961
NGC_957             ,4463,458022562353600512,1,0.923136440928119,38.26342467,57.4817589,-0.31216632,-1.06802368,0.4643296,15.823734,16.294153,15.17675,            ,38.26342725,57.4817636
NGC_957             ,4463,458022635374895616,1,0.9610121161143284,38.31859744,57.492886,-0.34513261,-1.09729825,0.47950793,13.108369,13.412942,12.62739,            ,38.3186003,57.4928908
NGC_957             ,4463,458022669734640768,1,0.7476050892826842,38.28711124,57.4869948,-0.40793078,-1.01142802,0.45568814,15.427028,15.820035,14.849407,            ,38.28711461,57.4869993
NGC_957             ,4463,458022738454120576,1,0.9445427164341192,38.23924454,57.4888121,-0.28237003,-1.07019774,0.3753887,15.395301,15.95591,14.66632,            ,38.23924687,57.4888168
NGC_957             ,4463,458022738454125440,1,1.0,38.25171904,57.4801354,-0.27374112,-1.10124112,0.38938332,16.159842,16.691858,15.45142,            ,38.2517213,57.4801403
NGC_957             ,4463,458022738454361216,1,0.9228750533075848,38.24648583,57.4763255,-0.31285655,-1.06030342,0.37679404,10.995702,11.261487,10.55612,            ,38.24648842,57.4763302
NGC_957             ,4463,458022875893307264,1,0.7472868167588155,38.25587943,57.5041695,-0.23102529,-0.99333565,0.44605981,15.972939,16.467226,15.296052,            ,38.25588134,57.5041739
NGC_957             ,4463,458022944612526976,1,1.0,38.25755148,57.5215214,-0.25530036,-1.16131063,0.44309562,15.387715,15.834796,14.761385,            ,38.2575536,57.5215265
NGC_957             ,4463,458022978972258432,1,0.8748388451622002,38.25049951,57.5308601,-0.44834876,-1.11385853,0.41671261,12.810168,13.204842,12.236571,            ,38.25050322,57.5308651
NGC_957             ,4463,458022978972613760,1,0.9700665666395268,38.2665347,57.5282021,-0.35761964,-1.02692732,0.37521562,15.283862,15.717677,14.667972,            ,38.26653766,57.5282067
NGC_957             ,4463,458023047691739264,1,1.0,38.34386581,57.5129785,-0.29382707,-1.08933561,0.38709742,15.204534,15.687986,14.541729,            ,38.34386824,57.5129834
NGC_957             ,4463,458023047691993728,1,1.0,38.34851617,57.5202741,-0.22562595,-1.15832225,0.44936765,15.272631,15.701008,14.658936,            ,38.34851804,57.5202792
NGC_957             ,4463,458023116411200896,1,1.0,38.33563139,57.53322,-0.33862948,-1.10363201,0.43718287,16.62841,17.306337,15.812511,            ,38.33563419,57.533225
NGC_957             ,4463,458023116411207552,1,1.0,38.32489689,57.5267207,-0.34825139,-1.18833244,0.43526119,11.768575,12.054139,11.306491,            ,38.32489977,57.526726
NGC_957             ,4463,458023150770934016,1,0.9822616111782906,38.36493131,57.5364442,-0.26517346,-1.12619193,0.48026785,15.399504,15.893419,14.723151,            ,38.36493351,57.5364492
NGC_957             ,4463,458023150770947456,1,0.8123635135283785,38.36151022,57.5201613,-0.29130776,-0.95220913,0.41148087,15.725191,16.216335,15.043009,            ,38.36151263,57.5201655
NGC_957             ,4463,458023185130667264,1,0.9305788139137292,38.35884672,57.5438163,-0.37753478,-1.09629184,0.48748732,15.172679,15.621481,14.539332,            ,38.35884985,57.5438212
NGC_957             ,4463,458023185130667776,1,0.8951364720440682,38.37799699,57.5403735,-0.16069109,-1.05544715,0.40810345,13.27952,13.65307,12.717806,            ,38.37799832,57.5403782
