# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Wed Sep 23 15:46:23 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 6.30000 0.6762014031 2.3661521133    0.676 -0.237  3.5935  3.831    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.361 5.867 6.780 4.927
0.0152 0.01508 6.30000 0.7000000477 2.3779267258    0.700 -0.207  3.5987  3.837    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.288 5.755 6.635 4.834
0.0152 0.01508 6.30000 0.7369493842 2.3944864580    0.737 -0.130  3.6207  3.870    0  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-13      0.00 7.092e-01 2.755e-01 2.719e-03 7.401e-04 6.720e-03 -1.000 1.527e-02 5.095 5.420 6.180 4.571
0.0152 0.01508 6.30000 0.7500000000 2.3998889087    0.750 -0.102  3.6287  3.882    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.33e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.024 5.303 6.026 4.478
0.0152 0.01508 6.30000 0.7509173751 2.4002605511    0.751 -0.101  3.6288  3.882    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.33e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.022 5.301 6.023 4.476
0.0152 0.01508 6.30000 0.7969346046 2.4176476567    0.797 -0.059  3.6342  3.887    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.42e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.917 5.165 5.863 4.356
0.0152 0.01508 6.30000 0.8000000119 2.4187244405    0.800 -0.056  3.6345  3.887    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.42e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.911 5.157 5.854 4.349
0.0152 0.01508 6.30000 0.8041437268 2.4201650049    0.804 -0.053  3.6350  3.888    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.903 5.147 5.841 4.340
0.0152 0.01508 6.30000 0.8428912759 2.4328511767    0.842 -0.020  3.6392  3.892    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -1.5e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.820 5.040 5.716 4.245
0.0152 0.01508 6.30000 0.8500000238 2.4350346840    0.850 -0.013  3.6400  3.893    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-13      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.803 5.020 5.692 4.227
